id,gateway_id,driver_id,ext_cam,int_cam,acceleration,incident_loc,tags
37,862,596,http://dummyimage.com/137x100.png/cc0000/ffffff,http://dummyimage.com/109x100.png/5fa2dd/ffffff,"{""speed_limit"": 25, ""acceleration"": ""[40,39,40,40,40,38,38,40,40,40,41,41,40,40,40,40,39,40,40,40,40]""}","52.87925, 14.20222",Speeding
38,255,773,http://dummyimage.com/105x100.png/ff4444/ffffff,http://dummyimage.com/164x100.png/dddddd/000000,"{""speed_limit"": 45, ""acceleration"": ""[15,15,16,18,21,23,26,28,30,33,42,54,56,56,55,52,51,50,50,50,51]""}","17.7409147, -91.7660525",Speeding
39,108,431,http://dummyimage.com/184x100.png/dddddd/000000,http://dummyimage.com/184x100.png/dddddd/000000,"{""speed_limit"": 25, ""acceleration"": ""[40,39,40,40,40,38,38,40,40,40,41,41,40,40,40,40,39,40,40,40,40]""}","33.7098769, -117.7431372",Crash
40,694,752,http://dummyimage.com/110x100.png/dddddd/000000,http://dummyimage.com/108x100.png/cc0000/ffffff,"{""speed_limit"": 25, ""acceleration"": ""[40,39,40,40,40,38,38,40,40,40,41,41,40,40,40,40,39,40,40,40,40]""}","32.497877, 119.975728",Harsh Turn
41,405,679,http://dummyimage.com/226x100.png/dddddd/000000,http://dummyimage.com/239x100.png/cc0000/ffffff,"{""speed_limit"": 55, ""acceleration"": ""[90,93,93,92,92,91,90,88,82,61,24,4,0,0,0,0,0,0,0,0,0]""}","34.883333, 69.716667",Harsh Turn
42,22,90,http://dummyimage.com/166x100.png/5fa2dd/ffffff,http://dummyimage.com/192x100.png/cc0000/ffffff,"{""speed_limit"": 55, ""acceleration"": ""[90,93,93,92,92,91,90,88,82,61,24,4,0,0,0,0,0,0,0,0,0]""}","32.27226, 108.12624",Crash
43,294,202,http://dummyimage.com/137x100.png/ff4444/ffffff,http://dummyimage.com/197x100.png/ff4444/ffffff,"{""speed_limit"": 35, ""acceleration"": ""[35,36,36,36,38,40,40,40,40,38,34,32,31,30,30,30,31,33,34,35,37]""}","-8.5294459, 119.0109502",Harsh Brake
44,485,837,http://dummyimage.com/193x100.png/cc0000/ffffff,http://dummyimage.com/137x100.png/ff4444/ffffff,"{""speed_limit"": 25, ""acceleration"": ""[40,39,40,40,40,38,38,40,40,40,41,41,40,40,40,40,39,40,40,40,40]""}","-8.602068, 116.195655",Harsh Turn
45,177,981,http://dummyimage.com/101x100.png/5fa2dd/ffffff,http://dummyimage.com/144x100.png/5fa2dd/ffffff,"{""speed_limit"": 45, ""acceleration"": ""[15,15,16,18,21,23,26,28,30,33,42,54,56,56,55,52,51,50,50,50,51]""}","34.8554595, 35.8586671",Harsh Accel
46,428,252,http://dummyimage.com/122x100.png/cc0000/ffffff,http://dummyimage.com/238x100.png/cc0000/ffffff,"{""speed_limit"": 55, ""acceleration"": ""[90,93,93,92,92,91,90,88,82,61,24,4,0,0,0,0,0,0,0,0,0]""}","32.0947711, 20.1879106",Distracted Driving
47,924,884,http://dummyimage.com/161x100.png/5fa2dd/ffffff,http://dummyimage.com/155x100.png/dddddd/000000,"{""speed_limit"": 35, ""acceleration"": ""[35,36,36,36,38,40,40,40,40,38,34,32,31,30,30,30,31,33,34,35,37]""}","63.4416393, 25.6450741",Distracted Driving
48,369,349,http://dummyimage.com/179x100.png/5fa2dd/ffffff,http://dummyimage.com/149x100.png/cc0000/ffffff,"{""speed_limit"": 35, ""acceleration"": ""[35,36,36,36,38,40,40,40,40,38,34,32,31,30,30,30,31,33,34,35,37]""}","32.3206, 35.20329",Crash
49,549,481,http://dummyimage.com/168x100.png/ff4444/ffffff,http://dummyimage.com/159x100.png/dddddd/000000,"{""speed_limit"": 35, ""acceleration"": ""[35,36,36,36,38,40,40,40,40,38,34,32,31,30,30,30,31,33,34,35,37]""}","24.479833, 118.089425",Harsh Brake
50,373,181,http://dummyimage.com/233x100.png/cc0000/ffffff,http://dummyimage.com/240x100.png/5fa2dd/ffffff,"{""speed_limit"": 35, ""acceleration"": ""[35,36,36,36,38,40,40,40,40,38,34,32,31,30,30,30,31,33,34,35,37]""}","-42.7608818, -65.0587962",Harsh Accel
51,936,682,http://dummyimage.com/180x100.png/dddddd/000000,http://dummyimage.com/207x100.png/5fa2dd/ffffff,"{""speed_limit"": 45, ""acceleration"": ""[15,15,16,18,21,23,26,28,30,33,42,54,56,56,55,52,51,50,50,50,51]""}","56.2744592, 44.0325148",Speeding
52,682,276,http://dummyimage.com/250x100.png/ff4444/ffffff,http://dummyimage.com/224x100.png/cc0000/ffffff,"{""speed_limit"": 45, ""acceleration"": ""[15,15,16,18,21,23,26,28,30,33,42,54,56,56,55,52,51,50,50,50,51]""}","31.87989, 35.124097",Harsh Brake
53,413,812,http://dummyimage.com/182x100.png/dddddd/000000,http://dummyimage.com/224x100.png/ff4444/ffffff,"{""speed_limit"": 35, ""acceleration"": ""[35,36,36,36,38,40,40,40,40,38,34,32,31,30,30,30,31,33,34,35,37]""}","57.6814887, 39.8556491",Distracted Driving
54,667,333,http://dummyimage.com/139x100.png/dddddd/000000,http://dummyimage.com/223x100.png/dddddd/000000,"{""speed_limit"": 45, ""acceleration"": ""[26,26,26,27,31,33,33,33,32,30,25,22,21,20,20,20,21,23,24,24,24]""}","48.6277459, 2.4381665",Crash
55,534,137,http://dummyimage.com/123x100.png/dddddd/000000,http://dummyimage.com/125x100.png/ff4444/ffffff,"{""speed_limit"": 35, ""acceleration"": ""[35,36,36,36,38,40,40,40,40,38,34,32,31,30,30,30,31,33,34,35,37]""}","-7.5178871, 109.0572086",Distracted Driving
56,828,489,http://dummyimage.com/210x100.png/ff4444/ffffff,http://dummyimage.com/154x100.png/ff4444/ffffff,"{""speed_limit"": 45, ""acceleration"": ""[26,26,26,27,31,33,33,33,32,30,25,22,21,20,20,20,21,23,24,24,24]""}","59.3462826, 18.0843085",Harsh Brake
57,902,461,http://dummyimage.com/142x100.png/cc0000/ffffff,http://dummyimage.com/116x100.png/ff4444/ffffff,"{""speed_limit"": 45, ""acceleration"": ""[26,26,26,27,31,33,33,33,32,30,25,22,21,20,20,20,21,23,24,24,24]""}","53.5662722, 9.9471012",Distracted Driving
58,948,92,http://dummyimage.com/187x100.png/ff4444/ffffff,http://dummyimage.com/175x100.png/ff4444/ffffff,"{""speed_limit"": 25, ""acceleration"": ""[40,39,40,40,40,38,38,40,40,40,41,41,40,40,40,40,39,40,40,40,40]""}","-7.9293213, 113.013113",Harsh Turn
59,724,745,http://dummyimage.com/164x100.png/cc0000/ffffff,http://dummyimage.com/207x100.png/ff4444/ffffff,"{""speed_limit"": 25, ""acceleration"": ""[40,39,40,40,40,38,38,40,40,40,41,41,40,40,40,40,39,40,40,40,40]""}","-5.8949347, -35.4343604",Distracted Driving
60,176,47,http://dummyimage.com/192x100.png/dddddd/000000,http://dummyimage.com/123x100.png/ff4444/ffffff,"{""speed_limit"": 45, ""acceleration"": ""[15,15,16,18,21,23,26,28,30,33,42,54,56,56,55,52,51,50,50,50,51]""}","-28.7137096, -49.3091437",Harsh Turn
61,173,849,http://dummyimage.com/152x100.png/ff4444/ffffff,http://dummyimage.com/179x100.png/dddddd/000000,"{""speed_limit"": 45, ""acceleration"": ""[15,15,16,18,21,23,26,28,30,33,42,54,56,56,55,52,51,50,50,50,51]""}","29.536212, 104.189955",Harsh Accel
62,397,611,http://dummyimage.com/191x100.png/cc0000/ffffff,http://dummyimage.com/106x100.png/dddddd/000000,"{""speed_limit"": 35, ""acceleration"": ""[35,36,36,36,38,40,40,40,40,38,34,32,31,30,30,30,31,33,34,35,37]""}","62.9663709, 27.6707397",Speeding
63,963,909,http://dummyimage.com/165x100.png/cc0000/ffffff,http://dummyimage.com/130x100.png/dddddd/000000,"{""speed_limit"": 45, ""acceleration"": ""[26,26,26,27,31,33,33,33,32,30,25,22,21,20,20,20,21,23,24,24,24]""}","39.9838002, 127.6124552",Crash
64,284,176,http://dummyimage.com/114x100.png/cc0000/ffffff,http://dummyimage.com/173x100.png/5fa2dd/ffffff,"{""speed_limit"": 45, ""acceleration"": ""[15,15,16,18,21,23,26,28,30,33,42,54,56,56,55,52,51,50,50,50,51]""}","21.1078535, -101.694732",Crash
65,280,904,http://dummyimage.com/144x100.png/ff4444/ffffff,http://dummyimage.com/220x100.png/ff4444/ffffff,"{""speed_limit"": 35, ""acceleration"": ""[35,36,36,36,38,40,40,40,40,38,34,32,31,30,30,30,31,33,34,35,37]""}","23.020673, 113.751799",Harsh Brake
66,904,914,http://dummyimage.com/196x100.png/ff4444/ffffff,http://dummyimage.com/235x100.png/dddddd/000000,"{""speed_limit"": 35, ""acceleration"": ""[35,36,36,36,38,40,40,40,40,38,34,32,31,30,30,30,31,33,34,35,37]""}","39.9838002, 127.6124552",Crash
67,492,667,http://dummyimage.com/105x100.png/5fa2dd/ffffff,http://dummyimage.com/245x100.png/5fa2dd/ffffff,"{""speed_limit"": 25, ""acceleration"": ""[40,39,40,40,40,38,38,40,40,40,41,41,40,40,40,40,39,40,40,40,40]""}","40.9724628, -8.4980252",Distracted Driving
68,857,461,http://dummyimage.com/142x100.png/dddddd/000000,http://dummyimage.com/111x100.png/5fa2dd/ffffff,"{""speed_limit"": 45, ""acceleration"": ""[15,15,16,18,21,23,26,28,30,33,42,54,56,56,55,52,51,50,50,50,51]""}","-0.3592489, 102.3607061",Crash
69,156,483,http://dummyimage.com/221x100.png/cc0000/ffffff,http://dummyimage.com/234x100.png/dddddd/000000,"{""speed_limit"": 45, ""acceleration"": ""[15,15,16,18,21,23,26,28,30,33,42,54,56,56,55,52,51,50,50,50,51]""}","37.7340363, -8.4593678",Harsh Accel
70,249,781,http://dummyimage.com/181x100.png/dddddd/000000,http://dummyimage.com/128x100.png/5fa2dd/ffffff,"{""speed_limit"": 25, ""acceleration"": ""[40,39,40,40,40,38,38,40,40,40,41,41,40,40,40,40,39,40,40,40,40]""}","51.7480675, 20.3872239",Crash
71,131,108,http://dummyimage.com/142x100.png/ff4444/ffffff,http://dummyimage.com/197x100.png/cc0000/ffffff,"{""speed_limit"": 25, ""acceleration"": ""[40,39,40,40,40,38,38,40,40,40,41,41,40,40,40,40,39,40,40,40,40]""}","23.8906995, 89.1099368",Speeding
72,400,685,http://dummyimage.com/218x100.png/cc0000/ffffff,http://dummyimage.com/193x100.png/ff4444/ffffff,"{""speed_limit"": 35, ""acceleration"": ""[35,36,36,36,38,40,40,40,40,38,34,32,31,30,30,30,31,33,34,35,37]""}","28.682892, 115.858197",Crash
73,442,208,http://dummyimage.com/131x100.png/5fa2dd/ffffff,http://dummyimage.com/168x100.png/cc0000/ffffff,"{""speed_limit"": 55, ""acceleration"": ""[90,93,93,92,92,91,90,88,82,61,24,4,0,0,0,0,0,0,0,0,0]""}","1.5073967, 21.0728664",Crash
74,228,947,http://dummyimage.com/149x100.png/dddddd/000000,http://dummyimage.com/195x100.png/5fa2dd/ffffff,"{""speed_limit"": 35, ""acceleration"": ""[35,36,36,36,38,40,40,40,40,38,34,32,31,30,30,30,31,33,34,35,37]""}","3.095417, -76.1435915",Harsh Turn
75,851,302,http://dummyimage.com/185x100.png/ff4444/ffffff,http://dummyimage.com/126x100.png/ff4444/ffffff,"{""speed_limit"": 45, ""acceleration"": ""[26,26,26,27,31,33,33,33,32,30,25,22,21,20,20,20,21,23,24,24,24]""}","49.902219, 20.636949",Crash
76,917,179,http://dummyimage.com/203x100.png/5fa2dd/ffffff,http://dummyimage.com/183x100.png/cc0000/ffffff,"{""speed_limit"": 25, ""acceleration"": ""[40,39,40,40,40,38,38,40,40,40,41,41,40,40,40,40,39,40,40,40,40]""}","58.0767446, 11.8416522",Speeding
77,219,373,http://dummyimage.com/219x100.png/5fa2dd/ffffff,http://dummyimage.com/143x100.png/dddddd/000000,"{""speed_limit"": 45, ""acceleration"": ""[15,15,16,18,21,23,26,28,30,33,42,54,56,56,55,52,51,50,50,50,51]""}","58.0819675, 55.8727412",Distracted Driving
78,523,213,http://dummyimage.com/144x100.png/5fa2dd/ffffff,http://dummyimage.com/231x100.png/dddddd/000000,"{""speed_limit"": 35, ""acceleration"": ""[35,36,36,36,38,40,40,40,40,38,34,32,31,30,30,30,31,33,34,35,37]""}","22.579117, 113.081508",Speeding
79,337,709,http://dummyimage.com/192x100.png/ff4444/ffffff,http://dummyimage.com/175x100.png/dddddd/000000,"{""speed_limit"": 55, ""acceleration"": ""[90,93,93,92,92,91,90,88,82,61,24,4,0,0,0,0,0,0,0,0,0]""}","3.33186, 99.161456",Harsh Accel
80,70,433,http://dummyimage.com/240x100.png/ff4444/ffffff,http://dummyimage.com/189x100.png/5fa2dd/ffffff,"{""speed_limit"": 25, ""acceleration"": ""[40,39,40,40,40,38,38,40,40,40,41,41,40,40,40,40,39,40,40,40,40]""}","14.5700525, 121.021201",Harsh Turn
81,442,375,http://dummyimage.com/182x100.png/ff4444/ffffff,http://dummyimage.com/150x100.png/5fa2dd/ffffff,"{""speed_limit"": 25, ""acceleration"": ""[40,39,40,40,40,38,38,40,40,40,41,41,40,40,40,40,39,40,40,40,40]""}","53.4651358, 25.4074899",Harsh Turn
82,345,813,http://dummyimage.com/110x100.png/ff4444/ffffff,http://dummyimage.com/180x100.png/cc0000/ffffff,"{""speed_limit"": 55, ""acceleration"": ""[90,93,93,92,92,91,90,88,82,61,24,4,0,0,0,0,0,0,0,0,0]""}","8.0478831, -2.807864",Harsh Accel
83,678,214,http://dummyimage.com/164x100.png/5fa2dd/ffffff,http://dummyimage.com/184x100.png/dddddd/000000,"{""speed_limit"": 45, ""acceleration"": ""[15,15,16,18,21,23,26,28,30,33,42,54,56,56,55,52,51,50,50,50,51]""}","31.65051, 35.17001",Harsh Turn
84,434,164,http://dummyimage.com/128x100.png/cc0000/ffffff,http://dummyimage.com/228x100.png/dddddd/000000,"{""speed_limit"": 55, ""acceleration"": ""[90,93,93,92,92,91,90,88,82,61,24,4,0,0,0,0,0,0,0,0,0]""}","-10.170262, 123.6427533",Harsh Accel
85,222,385,http://dummyimage.com/132x100.png/5fa2dd/ffffff,http://dummyimage.com/250x100.png/ff4444/ffffff,"{""speed_limit"": 25, ""acceleration"": ""[40,39,40,40,40,38,38,40,40,40,41,41,40,40,40,40,39,40,40,40,40]""}","56.8802017, 52.2966875",Crash
86,736,447,http://dummyimage.com/196x100.png/dddddd/000000,http://dummyimage.com/159x100.png/cc0000/ffffff,"{""speed_limit"": 35, ""acceleration"": ""[35,36,36,36,38,40,40,40,40,38,34,32,31,30,30,30,31,33,34,35,37]""}","45.7716857, 94.9302073",Harsh Turn
87,590,373,http://dummyimage.com/173x100.png/dddddd/000000,http://dummyimage.com/184x100.png/ff4444/ffffff,"{""speed_limit"": 25, ""acceleration"": ""[40,39,40,40,40,38,38,40,40,40,41,41,40,40,40,40,39,40,40,40,40]""}","55.4872242, 37.3046546",Speeding
88,407,209,http://dummyimage.com/125x100.png/ff4444/ffffff,http://dummyimage.com/127x100.png/dddddd/000000,"{""speed_limit"": 35, ""acceleration"": ""[35,36,36,36,38,40,40,40,40,38,34,32,31,30,30,30,31,33,34,35,37]""}","58.3776252, 26.7290062",Crash
89,107,207,http://dummyimage.com/204x100.png/ff4444/ffffff,http://dummyimage.com/232x100.png/5fa2dd/ffffff,"{""speed_limit"": 35, ""acceleration"": ""[35,36,36,36,38,40,40,40,40,38,34,32,31,30,30,30,31,33,34,35,37]""}","44.1034877, 43.2768364",Harsh Turn
90,418,571,http://dummyimage.com/125x100.png/ff4444/ffffff,http://dummyimage.com/215x100.png/cc0000/ffffff,"{""speed_limit"": 55, ""acceleration"": ""[90,93,93,92,92,91,90,88,82,61,24,4,0,0,0,0,0,0,0,0,0]""}","53.3062953, 36.0446294",Harsh Turn
91,58,362,http://dummyimage.com/188x100.png/ff4444/ffffff,http://dummyimage.com/208x100.png/cc0000/ffffff,"{""speed_limit"": 45, ""acceleration"": ""[26,26,26,27,31,33,33,33,32,30,25,22,21,20,20,20,21,23,24,24,24]""}","-8.602068, 116.195655",Speeding
92,908,411,http://dummyimage.com/141x100.png/cc0000/ffffff,http://dummyimage.com/114x100.png/dddddd/000000,"{""speed_limit"": 25, ""acceleration"": ""[40,39,40,40,40,38,38,40,40,40,41,41,40,40,40,40,39,40,40,40,40]""}","41.3044511, -8.5943326",Distracted Driving
93,186,999,http://dummyimage.com/168x100.png/5fa2dd/ffffff,http://dummyimage.com/214x100.png/5fa2dd/ffffff,"{""speed_limit"": 45, ""acceleration"": ""[26,26,26,27,31,33,33,33,32,30,25,22,21,20,20,20,21,23,24,24,24]""}","31.689957, 35.188236",Harsh Brake
94,357,607,http://dummyimage.com/199x100.png/cc0000/ffffff,http://dummyimage.com/170x100.png/5fa2dd/ffffff,"{""speed_limit"": 45, ""acceleration"": ""[15,15,16,18,21,23,26,28,30,33,42,54,56,56,55,52,51,50,50,50,51]""}","14.5999366, 121.012518",Speeding
95,554,474,http://dummyimage.com/208x100.png/dddddd/000000,http://dummyimage.com/230x100.png/dddddd/000000,"{""speed_limit"": 25, ""acceleration"": ""[40,39,40,40,40,38,38,40,40,40,41,41,40,40,40,40,39,40,40,40,40]""}","46.791555, 15.379192",Distracted Driving
